exercise_name,muscle_slug,role,activation_pct
Back Squat,quadriceps,primary,88
Back Squat,gluteus_maximus,primary,82
Back Squat,erector_spinae,secondary,55
Back Squat,hamstrings,secondary,40
Back Squat,calves,secondary,35
Back Squat,rectus_abdominis,secondary,45
Barbell Curl,biceps_brachii,primary,90
Barbell Curl,forearms,secondary,50
Barbell Lunge,quadriceps,primary,90
Barbell Lunge,gluteus_maximus,primary,85
Barbell Lunge,hamstrings,secondary,45
Barbell Lunge,calves,secondary,40
Barbell Row,latissimus_dorsi,primary,75
Barbell Row,rhomboids,secondary,45
Barbell Row,trapezius,secondary,40
Barbell Row,biceps_brachii,secondary,50
Barbell Row,forearms,secondary,55
Barbell Shrug,trapezius,primary,85
Bench Press,pectoralis_major,primary,85
Bench Press,anterior_deltoid,secondary,55
Bench Press,triceps_brachii,secondary,58
Bulgarian Split Squat,quadriceps,primary,90
Bulgarian Split Squat,gluteus_maximus,secondary,55
Bulgarian Split Squat,hamstrings,secondary,45
Bulgarian Split Squat,calves,secondary,40
Close Grip Bench Press,triceps_brachii,primary,90
Close Grip Bench Press,pectoralis_major,secondary,45
Close Grip Bench Press,anterior_deltoid,secondary,50
Conventional Deadlift,gluteus_maximus,primary,85
Conventional Deadlift,erector_spinae,primary,92
Conventional Deadlift,hamstrings,secondary,50
Conventional Deadlift,quadriceps,secondary,42
Conventional Deadlift,trapezius,secondary,55
Crunch,rectus_abdominis,primary,85
Crunch,hip_flexors,secondary,45
Dips,pectoralis_major,primary,85
Dips,triceps_brachii,secondary,55
Dips,anterior_deltoid,secondary,45
Dumbbell Curl,biceps_brachii,primary,90
Dumbbell Curl,forearms,secondary,50
Dumbbell Fly,pectoralis_major,primary,85
Dumbbell Fly,pectoralis_minor,secondary,45
Dumbbell Hammer Curl,biceps_brachii,primary,85
Dumbbell Hammer Curl,forearms,secondary,55
Dumbbell Hammer Curl,brachialis,secondary,58
Dumbbell Shoulder Press,anterior_deltoid,primary,85
Dumbbell Shoulder Press,lateral_deltoid,secondary,50
Dumbbell Shoulder Press,triceps_brachii,secondary,55
Dumbbell Shoulder Press,trapezius,secondary,40
Dumbbell Shrug,trapezius,primary,90
Front Raise,anterior_deltoid,primary,85
Front Raise,trapezius,secondary,45
Front Squat,quadriceps,primary,90
Front Squat,gluteus_maximus,secondary,50
Front Squat,erector_spinae,secondary,55
Front Squat,hamstrings,secondary,40
Front Squat,calves,secondary,35
Front Squat,rectus_abdominis,secondary,55
Glute Bridge,gluteus_maximus,primary,92
Glute Bridge,hamstrings,secondary,48
Glute Bridge,erector_spinae,secondary,42
Good Morning,hamstrings,primary,80
Good Morning,erector_spinae,secondary,55
Good Morning,gluteus_maximus,secondary,50
Hip Thrust,gluteus_maximus,primary,92
Hip Thrust,hamstrings,secondary,50
Hip Thrust,gluteus_medius,secondary,40
Incline Bench Press,pectoralis_major,primary,85
Incline Bench Press,anterior_deltoid,secondary,55
Incline Bench Press,triceps_brachii,secondary,45
One Arm Dumbbell Row,latissimus_dorsi,primary,90
